Grasp Type,Approach,Hand Orientation,Shape,Shape Orientation,Changing Dimension,Average,Min Interval,Max Interval,Count,,Average,Min Interval,Max Interval,Count,
 equidistant,top, 3 around the sides, cone,e,E,7.0,7.0,7.0,11,,27.400000000000002,27.400000000000002,27.400000000000002,11
 3fingerpinch,side, end to end, cone,e,H,3.8000000000000003,3.8000000000000003,5.0,8,,33.0,33.0,33.0,8
 3fingerpinch,side, end to end, cone,e,W,1.0,1.0,1.0,14,,17.0,17.0,17.0,14
 3fingerpinch,side, end to end, cone,e,E,1.0,1.0,1.0,8,,12.600000000000001,12.600000000000001,12.600000000000001,8
 2fingerpinch,side, end to end, cube,h,H,5.0,5.0,5.0,28,,21.0,21.0,21.0,28
 2fingerpinch,side, end to end, cube,h,W,1.0,1.0,1.0,25,,19.0,19.0,19.0,25
 2fingerpinch,side, end to end, cube,h,E,1.0,1.0,1.0,26,,24.600000000000001,24.600000000000001,24.600000000000001,26
 equidistant,side," 3 around the sides, palm on round", cylinder,h,H,1.0,1.0,1.0,5,,13.800000000000001,13.800000000000001,13.800000000000001,5
 equidistant,side," 3 around the sides, palm on round", cylinder,h,W,1.0,1.0,1.0,15,,15.0,15.0,15.0,15
 equidistant,side," 3 around the sides, palm on round", cylinder,h,E,1.0,1.0,1.0,5,,27.0,27.0,27.0,5
 3fingerpinch,top, around the sides, cube,h,H,17.0,17.0,17.0,9,,33.0,33.0,33.0,9
 3fingerpinch,top, around the sides, cube,h,W,1.0,1.0,1.0,9,,10.200000000000001,10.200000000000001,13.4,9
 3fingerpinch,top, around the sides, cube,h,E,5.4000000000000004,5.4000000000000004,7.8000000000000007,8,,17.0,17.0,19.0,8
 hook,side, over the top, cylinder,e,H,1.0,1.0,1.0,3,,33.0,33.0,33.0,3
 hook,side, over the top, cylinder,e,W,1.0,1.0,5.0,2,,9.0,9.0,21.400000000000002,2
 hook,side, over the top, cylinder,e,E,8.6000000000000014,8.6000000000000014,8.6000000000000014,5,,33.0,33.0,33.0,5
 2fingerpinch,top, 2 around the sides, cone,e,H,5.0,5.0,5.0,13,,25.800000000000001,25.800000000000001,25.800000000000001,13
 2fingerpinch,top, 2 around the sides, cone,e,W,1.3999999999999999,1.3999999999999999,1.3999999999999999,9,,25.0,25.0,25.0,9
 2fingerpinch,top, 2 around the sides, cone,e,E,5.0,5.0,5.0,15,,25.0,25.0,25.0,15
 2fingerpinch,top, 2 around the sides, ellipse,h,H,7.0,7.0,7.4000000000000004,10,,33.0,33.0,33.0,10
 2fingerpinch,top, 2 around the sides, ellipse,h,W,5.0,5.0,7.0,18,,21.400000000000002,21.400000000000002,21.400000000000002,18
 2fingerpinch,top, 2 around the sides, ellipse,h,E,1.0,1.0,1.0,17,,21.800000000000001,21.800000000000001,23.400000000000002,17
 hook,side, over the top, ellipse,h,H,7.0,7.0,7.0,5,,25.0,25.0,25.0,5
 hook,side, over the top, ellipse,h,W,1.0,1.0,1.0,4,,17.800000000000001,17.800000000000001,20.600000000000001,4
 hook,side, over the top, ellipse,h,E,1.0,1.0,1.0,3,,33.0,33.0,33.0,3
 2fingerpinch,side, end to end, cylinder,w,H,5.0,5.0,5.0,23,,25.0,25.0,25.400000000000002,23
 2fingerpinch,side, end to end, cylinder,w,W,1.0,1.0,1.0,28,,17.800000000000001,17.800000000000001,17.800000000000001,28
 2fingerpinch,side, end to end, cylinder,w,E,1.0,1.0,1.0,26,,21.0,21.0,21.0,26
 hook,side, around the sides, cone,h,H,3.4000000000000004,3.4000000000000004,6.2000000000000002,4,,25.0,25.0,29.0,4
 hook,side, around the sides, cone,h,W,1.0,1.0,1.0,5,,21.0,21.0,21.0,5
 hook,side, around the sides, cone,h,E,5.4000000000000004,5.4000000000000004,5.4000000000000004,9,,19.400000000000002,19.400000000000002,19.400000000000002,9
 equidistant,side," 2 pinch the sides, 1 on the top", cone,h,H,7.0,7.0,7.0,11,,32.200000000000003,27.400000000000002,32.200000000000003,11
 equidistant,side," 2 pinch the sides, 1 on the top", cone,h,W,5.0,5.0,5.0,7,,24.600000000000001,24.600000000000001,24.600000000000001,7
 equidistant,side," 2 pinch the sides, 1 on the top", cone,h,E,1.0,1.0,1.0,17,,26.600000000000001,26.600000000000001,26.600000000000001,17
 2fingerpinch,top, end to end, cylinder,h,H,2.6000000000000001,2.6000000000000001,2.6000000000000001,7,,29.0,29.0,33.0,7
 2fingerpinch,top, end to end, cylinder,h,W,5.0,5.0,5.0,7,,19.800000000000001,19.800000000000001,19.800000000000001,7
 2fingerpinch,top, end to end, cylinder,h,E,7.0,5.8000000000000007,7.0,14,,25.0,23.800000000000001,25.0,14
 3fingerpinch,side, around the sides, ellipse,h,H,13.0,9.8000000000000007,13.0,12,,33.0,33.0,33.0,12
 3fingerpinch,side, around the sides, ellipse,h,W,1.0,1.0,1.0,15,,21.0,21.0,21.0,15
 3fingerpinch,side, around the sides, ellipse,h,E,1.0,1.0,1.0,10,,20.600000000000001,20.600000000000001,29.0,10
 equidistant,top, 3 around the sides, cube,h,H,4.2000000000000002,4.2000000000000002,4.2000000000000002,13,,33.0,33.0,33.0,13
 equidistant,top, 3 around the sides, cube,h,W,1.3999999999999999,1.0,1.3999999999999999,12,,17.0,17.0,17.0,12
 equidistant,top, 3 around the sides, cube,h,E,1.0,1.0,1.0,11,,25.0,25.0,25.0,11
 hook,side, around the sides, cube,h,H,5.0,5.0,5.0,9,,14.200000000000001,14.200000000000001,14.200000000000001,9
 hook,side, around the sides, cube,h,W,1.0,1.0,1.0,3,,18.600000000000001,18.600000000000001,18.600000000000001,3
 hook,side, around the sides, cube,h,E,1.0,1.0,5.4000000000000004,4,,20.200000000000003,20.200000000000003,22.600000000000001,4
 equidistant,side," 3 around the sides, palm on flat", cone,e,H,10.600000000000001,10.600000000000001,10.600000000000001,19,,33.0,33.0,33.0,19
 equidistant,side," 3 around the sides, palm on flat", cone,e,W,1.0,1.0,1.0,18,,22.600000000000001,22.600000000000001,23.400000000000002,18
 equidistant,side," 3 around the sides, palm on flat", cone,e,E,3.0,3.0,3.0,19,,21.800000000000001,21.800000000000001,21.800000000000001,19
 equidistant,side," 2 pinch the sides, 1 on the top", cylinder,h,H,6.2000000000000002,6.2000000000000002,6.2000000000000002,7,,23.0,23.0,23.0,7
 equidistant,side," 2 pinch the sides, 1 on the top", cylinder,h,W,1.3999999999999999,1.3999999999999999,1.3999999999999999,17,,19.800000000000001,19.800000000000001,19.800000000000001,17
 equidistant,side," 2 pinch the sides, 1 on the top", cylinder,h,E,1.0,1.0,1.0,12,,21.400000000000002,21.400000000000002,24.600000000000001,12
 3fingerpinch,top, opposite sides, cylinder,h,H,1.0,1.0,13.0,4,,18.600000000000001,18.600000000000001,19.0,4
 3fingerpinch,top, opposite sides, cylinder,h,W,6.6000000000000005,6.6000000000000005,6.6000000000000005,9,,10.600000000000001,10.600000000000001,11.800000000000001,9
 3fingerpinch,top, opposite sides, cylinder,h,E,1.0,1.0,2.6000000000000001,10,,11.0,11.0,11.0,10
 2fingerpinch,side, end to end, cone,e,H,7.4000000000000004,7.4000000000000004,8.1999999999999993,26,,26.200000000000003,26.200000000000003,26.200000000000003,26
 2fingerpinch,side, end to end, cone,e,W,1.0,1.0,1.0,26,,25.0,25.0,25.0,26
 2fingerpinch,side, end to end, cone,e,E,5.0,5.0,5.0,28,,33.0,33.0,33.0,28
 equidistant,top," 2 around the sides, 1 on the base", cone,e,H,5.0,5.0,5.0,25,,20.600000000000001,20.600000000000001,20.600000000000001,25
 equidistant,top," 2 around the sides, 1 on the base", cone,e,W,5.0,5.0,5.0,23,,24.200000000000003,24.200000000000003,24.200000000000003,23
 equidistant,top," 2 around the sides, 1 on the base", cone,e,E,7.4000000000000004,7.4000000000000004,7.4000000000000004,25,,23.400000000000002,23.400000000000002,24.600000000000001,25
 hook,side, over the top, cylinder,h,H,1.0,1.0,1.0,3,,9.0,9.0,9.0,3
 hook,side, over the top, cylinder,h,W,9.4000000000000004,9.4000000000000004,9.4000000000000004,5,,21.400000000000002,21.400000000000002,33.0,5
 hook,side, over the top, cylinder,h,E,8.1999999999999993,8.1999999999999993,9.0,4,,21.400000000000002,21.400000000000002,33.0,4
