obj,sub,array3,ObjRotation,grasp,type,HandRotation,HandPosition,ObjPosition
obj2,sub6,"[[-0.79251789 -0.1373487  -0.05068711]
 [-0.84069803 -0.05588404 -0.02793277]]",[ 0.30426411 -0.67768338  0.2110158   0.63532741],grasp3,optimal0,[ 1.34129709  1.30625368  1.02008715  0.01753121],[-0.83786645 -0.1097318   0.02211136],[-0.7253731  -0.18109094 -0.04810051]
obj2,sub6,"[[-0.77226487 -0.11218404  0.01145213]
 [-0.78616424 -0.06361161 -0.03536185]]",[ 0.28923764 -0.66360525  0.2242858   0.65243048],grasp3,extreme0,[ 1.26234652  1.48766431  1.17886433  0.01718058],[-0.81764893 -0.10495023  0.0621517 ],[-0.72910878 -0.1789323  -0.02108781]
obj2,sub6,"[[-0.77466206 -0.11663634 -0.05422752]
 [-0.77867267 -0.06400124 -0.06070145]]",[ 0.28688426 -0.70343633  0.21097648  0.61511274],grasp3,extreme1,[ 1.51402737  1.38736334  1.08012837  0.01718058],[-0.81152566 -0.10251444  0.00596443],[-0.71792448 -0.1748619  -0.08939309]
obj2,sub6,"[[-0.85671465 -0.13098569  0.15736218]
 [-0.84603179 -0.13336646  0.10318938]]",[ 0.087995   -0.96771974  0.22632383  0.06747525],grasp4,optimal0,[ 1.92169668  1.59726349  1.04805328  0.15164496],[-0.85114185 -0.12790829  0.00971226],[-0.81584661 -0.14348918  0.23120801]
obj2,sub6,"[[-0.87725781 -0.17350284  0.16303912]
 [-0.86238805 -0.13862145  0.05505127]]",[-0.0010727  -0.98768623  0.14691529  0.0537649 ],grasp4,optimal1,[ 1.26572302  1.81554778  1.34528825  0.28663527],[-0.8501435  -0.14800671  0.02125393],[-0.82738632 -0.17597375  0.23621377]
obj2,sub6,"[[-0.83643792 -0.18094395  0.06355777]
 [-0.84856029 -0.13794369  0.08134023]]",[ 0.72630458 -0.21937007 -0.58879254 -0.27871452],grasp5,optimal0,[ 1.70576684  1.62391471  1.34431187  0.28742417],[-0.83607878 -0.1476653   0.02738799],[-0.73691373 -0.22809739  0.08320266]
obj2,sub6,"[[-0.84370438 -0.1558466   0.03359066]
 [-0.88294135 -0.06464695  0.01942347]]",[ 0.17350601 -0.67186207  0.21010046  0.68873422],grasp6,optimal0,[ 0.83454995  0.96390892  1.57687299  0.27778201],[-0.88304412 -0.13089668  0.06040863],[-0.77723118 -0.19776054  0.07467584]
obj5,sub6,"[[-0.73660489 -0.16261544 -0.02269618]
 [-0.79770134 -0.08747463 -0.04536956]]",[ 0.23577418 -0.67184053  0.27016361  0.64811455],grasp1,optimal0,[ 1.271407    1.26182615  1.22277796  0.01840777],[-0.81627224 -0.10446019 -0.01002623],[-0.68264935 -0.22237834 -0.0597936 ]
obj5,sub6,"[[-0.7421935  -0.16805035 -0.05438954]
 [-0.79911935 -0.08520607 -0.08076497]]",[ 0.23437594 -0.69634153  0.26127902  0.62602688],grasp1,extreme0,[ 1.27713893  1.28588708  1.21054645  0.01761887],[-0.81344461 -0.10589447 -0.00940284],[-0.6785611  -0.22016105 -0.08756887]
obj5,sub6,"[[-0.79709067 -0.09025768  0.09673913]
 [-0.7924971  -0.09701606  0.0441156 ]]",[ 0.27704426 -0.67642839  0.28654569  0.61934052],grasp1,extreme1,[ 1.24122423  1.25738581  1.23955436  0.01788183],[-0.82498808 -0.10069453  0.00402746],[-0.69299703 -0.24038284  0.08456745]
obj5,sub6,"[[-0.76360555 -0.09998723  0.1459191 ]
 [-0.73977424 -0.08144125  0.04950037]]",[ 0.06728687 -0.92895443  0.36386632 -0.0108372 ],grasp2,optimal0,[ 1.22324859  1.20946145  1.27118717  0.01612871],[-0.73671617 -0.1077103   0.00118753],[-0.7536358  -0.13888569  0.2212241 ]
obj5,sub6,"[[-0.76003349 -0.09318587  0.14104746]
 [-0.69390416 -0.13391282  0.04602832]]",[ 0.02429787 -0.91110021  0.40971268 -0.03796774],grasp2,extreme0,[ 1.22913893  1.18844927  1.27713844  0.01612871],[-0.73677072 -0.1233311  -0.00420816],[-0.75466525 -0.134128    0.21921697]
obj5,sub6,"[[-0.76792995 -0.10811289  0.1381119 ]
 [-0.7241118  -0.11121348  0.04216019]]",[-0.01128686  0.89506094 -0.4419646   0.05835943],grasp2,extreme1,[ 1.25304145  1.17644927  1.2560897   0.01604106],[-0.69623489 -0.16870954 -0.00781098],[-0.75309047 -0.13661742  0.21961995]
obj5,sub6,"[[-0.74968063 -0.10534165  0.10311116]
 [-0.71156529 -0.1423004   0.10885392]]",[ 0.01519802  0.91515269 -0.40266689  0.01113313],grasp2,extreme2,[ 1.22305364  1.18844927  1.2770044   0.01647934],[-0.74756472 -0.13551464  0.01035128],[-0.75813618 -0.13443199  0.2851535 ]
